date,price
09/07/2021,68.13
09/06/2021,68.80
09/05/2021,68.75
09/03/2021,69.07
09/02/2021,69.73
09/01/2021,68.32
08/31/2021,68.26
08/30/2021,68.93
08/27/2021,68.48
08/26/2021,67.10
08/25/2021,68.06
08/24/2021,67.25
08/23/2021,65.34
08/20/2021,62.14
08/19/2021,63.50
08/18/2021,65.21
08/17/2021,66.34
08/16/2021,67.05
08/13/2021,68.21
08/12/2021,68.90
08/11/2021,69.02
08/10/2021,68.06
08/09/2021,66.30
08/06/2021,68.10
08/05/2021,68.74
08/04/2021,67.79
08/03/2021,70.03
08/02/2021,70.61
07/30/2021,73.23
07/29/2021,72.98
07/28/2021,71.79
07/27/2021,71.14
07/26/2021,71.34
07/23/2021,71.38
07/22/2021,71.14
07/21/2021,69.57
07/20/2021,67.20
07/19/2021,66.35
07/16/2021,71.56
07/15/2021,71.38
07/14/2021,72.64
07/13/2021,74.69
07/12/2021,73.44
07/09/2021,73.81
07/08/2021,72.22
07/07/2021,71.50
07/06/2021,72.58
07/05/2021,76.25
07/04/2021,75.14
07/02/2021,74.36
07/01/2021,74.33
06/30/2021,72.77
06/29/2021,72.31
06/28/2021,72.20
06/25/2021,73.33
06/24/2021,72.63
06/23/2021,72.36
06/22/2021,72.85
06/21/2021,73.12
06/18/2021,71.29
06/17/2021,70.78
06/16/2021,71.95
06/15/2021,71.86
06/14/2021,70.63
06/11/2021,70.60
06/10/2021,70.09
06/09/2021,69.79
06/08/2021,69.87
06/07/2021,69.04
06/04/2021,69.39
06/03/2021,68.60
06/02/2021,68.63
06/01/2021,67.52
05/31/2021,66.96
05/30/2021,66.59
05/28/2021,66.10
05/27/2021,66.60
05/26/2021,65.96
05/25/2021,65.79
05/24/2021,65.78
05/21/2021,63.36
05/20/2021,61.94
05/19/2021,63.35
05/18/2021,65.50
05/17/2021,66.28
05/14/2021,65.36
05/13/2021,63.84
05/12/2021,66.10
05/11/2021,65.30
05/10/2021,64.93
05/07/2021,64.88
05/06/2021,64.67
05/05/2021,65.59
05/04/2021,65.61
05/03/2021,64.41
04/30/2021,63.48
04/29/2021,64.88
04/28/2021,63.75
04/27/2021,62.80
04/26/2021,61.80
04/23/2021,62.02
04/22/2021,61.34
04/21/2021,61.27
04/20/2021,62.67
04/19/2021,63.43
04/16/2021,63.19
04/15/2021,63.51
04/14/2021,63.22
04/13/2021,60.24
04/12/2021,59.75
04/09/2021,59.35
04/08/2021,59.63
04/07/2021,59.81
04/06/2021,59.37
04/05/2021,58.68
04/01/2021,61.48
03/31/2021,59.18
03/30/2021,60.56
03/29/2021,61.53
03/26/2021,60.96
03/25/2021,58.57
03/24/2021,61.16
03/23/2021,57.78
03/22/2021,61.56
03/19/2021,61.44
03/18/2021,60.06
03/17/2021,64.63
03/16/2021,64.86
03/15/2021,65.44
03/12/2021,65.64
03/11/2021,66.00
03/10/2021,64.42
03/09/2021,63.99
03/08/2021,64.93
03/05/2021,65.92
03/04/2021,63.62
03/03/2021,61.10
03/02/2021,59.57
03/01/2021,60.42
02/26/2021,61.23
02/25/2021,63.22
02/24/2021,63.00
02/23/2021,61.43
02/22/2021,61.70
02/19/2021,59.26
02/18/2021,60.53
02/17/2021,61.16
02/16/2021,60.08
02/15/2021,60.09
02/14/2021,60.37
02/12/2021,59.38
02/11/2021,58.14
02/10/2021,58.57
02/09/2021,58.25
02/08/2021,57.83
02/05/2021,56.70
02/04/2021,56.07
02/03/2021,55.54
02/02/2021,54.62
02/01/2021,53.42
01/29/2021,52.08
01/28/2021,52.24
01/27/2021,52.73
01/26/2021,52.52
